"Locale","区域"
"Add New Translation","添加翻译语句"
"Add Translation","添加翻译语句"
"Edit Translation","编辑翻译语句"
"Original","原文"
"Translated","译文"
"Translation","翻译"
"Translation Management","翻译管理"
"AUS Central Standard Time (Australia/Darwin)","澳大利亚中部标准时间 (澳大利亚/达尔文)"
"AUS Eastern Standard Time (Australia/Melbourne)","澳大利亚东部标准时间 (澳大利亚/墨尔本)"
"AUS Eastern Standard Time (Australia/Sydney)","澳大利亚东部标准时间 (澳大利亚/悉尼)"
"Afghanistan Standard Time (Asia/Kabul)","阿富汗标准时间 (亚洲/喀布尔)"
"Alaskan Standard Time (America/Anchorage)","阿拉斯加标准时间 (美洲/安克雷奇)"
"Alaskan Standard Time (America/Juneau)","阿拉斯加标准时间 (美洲/朱诺)"
"Alaskan Standard Time (America/Nome)","阿拉斯加标准时间 (美洲/诺姆)"
"Alaskan Standard Time (America/Sitka)","阿拉斯加标准时间 (美洲/锡特卡)"
"Alaskan Standard Time (America/Yakutat)","阿拉斯加标准时间 (美洲/亚库塔特)"
"Arab Standard Time (Asia/Aden)","阿拉伯标准时间 (亚洲/亚丁)"
"Arab Standard Time (Asia/Bahrain)","阿拉伯标准时间 (亚洲/巴林)"
"Arab Standard Time (Asia/Kuwait)","阿拉伯标准时间 (亚洲/科威特)"
"Arab Standard Time (Asia/Qatar)","阿拉伯标准时间 (亚洲/卡塔尔)"
"Arab Standard Time (Asia/Riyadh)","阿拉伯标准时间 (亚洲/利雅得)"
"Arabian Standard Time (Asia/Dubai)","阿拉伯标准时间 (亚洲/迪拜)"
"Arabian Standard Time (Asia/Muscat)","阿拉伯标准时间 (亚洲/马斯喀特)"
"Arabian Standard Time (Etc/GMT-4)","阿拉伯标准时间 (ETC/GMT-4)"
"Arabic Standard Time (Asia/Baghdad)","阿拉伯标准时间 (亚洲/巴格达)"，
"Argentina Standard Time (America/Argentina/La_Rioja)","阿根廷标准时间 (美洲/阿根廷/拉里奥哈)"
"Argentina Standard Time (America/Argentina/Rio_Gallegos)","阿根廷标准时间 (美洲/阿根廷/里奥加耶戈斯)"
"Argentina Standard Time (America/Argentina/Salta)","阿根廷标准时间 (美洲/阿根廷/萨尔塔)"
"Argentina Standard Time (America/Argentina/San_Juan)","阿根廷标准时间 (美洲/阿根廷/圣胡安)"
"Argentina Standard Time (America/Argentina/San_Luis)","阿根廷标准时间 (美洲/阿根廷/圣路易斯)"
"Argentina Standard Time (America/Argentina/Tucuman)","阿根廷标准时间 (美洲/阿根廷/图库曼)"
"Argentina Standard Time (America/Argentina/Ushuaia)","阿根廷标准时间 (美洲/阿根廷/乌斯怀亚)"
"Argentina Standard Time (America/Buenos_Aires)","阿根廷标准时间 (美洲/布宜诺斯艾利斯)"
"Argentina Standard Time (America/Catamarca)","阿根廷标准时间 (美洲/卡塔马卡)"
"Argentina Standard Time (America/Cordoba)","阿根廷标准时间 (美洲/科尔多瓦)"
"Argentina Standard Time (America/Jujuy)","阿根廷标准时间 (美洲/胡胡伊)"
"Argentina Standard Time (America/Mendoza)","阿根廷标准时间 (美洲/门多萨)"
"Atlantic Standard Time (America/Glace_Bay)","大西洋标准时间 (美洲/格莱斯贝)"
"Atlantic Standard Time (America/Goose_Bay)","大西洋标准时间 (美洲/古斯湾)"
"Atlantic Standard Time (America/Halifax)","大西洋标准时间 (美洲/哈利法克斯)"
"Atlantic Standard Time (America/Moncton)","大西洋标准时间 (美洲/蒙克顿)"
"Atlantic Standard Time (America/Thule)","大西洋标准时间 (美洲/图勒)"
"Atlantic Standard Time (Atlantic/Bermuda)","大西洋标准时间 (大西洋/百慕大)"
"Azerbaijan Standard Time (Asia/Baku)","阿塞拜疆标准时间 (亚洲/巴库)"
"Azores Standard Time (America/Scoresbysund)","亚速尔群岛标准时间 (美洲/斯科斯比松)"
"Azores Standard Time (Atlantic/Azores)","亚速尔群岛标准时间 (大西洋/亚速尔群岛)"
"Bahia Standard Time (America/Bahia)","巴伊亚标准时间 (美洲/巴伊亚)"
"Bangladesh Standard Time (Asia/Dhaka)","孟加拉国标准时间 (亚洲/达卡)"
"Bangladesh Standard Time (Asia/Thimphu)","孟加拉国标准时间 (亚洲/廷布)"
"Canada Central Standard Time (America/Regina)","加拿大中部标准时间 (美洲/里贾纳)"
"Canada Central Standard Time (America/Swift_Current)","加拿大中部标准时间 (美洲/斯威夫特卡伦特)"
"Cape Verde Standard Time (Atlantic/Cape_Verde)","佛得角标准时间 (大西洋/佛得角)"
"Cape Verde Standard Time (Etc/GMT+1)","佛得角标准时间 (ETC/GMT+1)"
"Caucasus Standard Time (Asia/Yerevan)","高加索标准时间 (亚洲/埃里温)"
"Cen. Australia Standard Time (Australia/Adelaide)","澳大利亚中部标准时间 (澳大利亚/阿德莱德)"
"Cen. Australia Standard Time (Australia/Broken_Hill)","澳大利亚中部标准时间 (澳大利亚/布罗肯希尔)"，
"Central America Standard Time (America/Belize)","中美洲标准时间 (美洲/伯利兹)"
"Central America Standard Time (America/Costa_Rica)","中美洲标准时间 (美洲/哥斯达黎加)"
"Central America Standard Time (America/El_Salvador)","中美洲标准时间 (美洲/萨尔瓦多)"
"Central America Standard Time (America/Guatemala)","中美洲标准时间 (美洲/危地马拉)"
"Central America Standard Time (America/Managua)","中美洲标准时间 (美洲/马那瓜)"
"Central America Standard Time (America/Tegucigalpa)","中美洲标准时间 (美洲/特古西加尔巴)"
"Central America Standard Time (Etc/GMT+6)","中美洲标准时间 (ETC/GMT+6)"
"Central America Standard Time (Pacific/Galapagos)","中美洲标准时间 (太平洋/加拉帕戈斯)"
"Central Asia Standard Time (Antarctica/Vostok)","中亚标准时间 (南极洲/东方站)"
"Central Asia Standard Time (Asia/Almaty)","中亚标准时间 (亚洲/阿拉木图)"
"Central Asia Standard Time (Asia/Bishkek)","中亚标准时间 (亚洲/比什凯克)"
"Central Asia Standard Time (Asia/Qyzylorda)","中亚标准时间 (亚洲/克孜勒奥尔达)"
"Central Asia Standard Time (Etc/GMT-6)","中亚标准时间 (ETC/GMT-6)"
"Central Asia Standard Time (Indian/Chagos)","中亚标准时间 (印度/查戈斯)"
"Central Brazilian Standard Time (America/Campo_Grande)","巴西中部标准时间 (美洲/大坎普)"
"Central Brazilian Standard Time (America/Cuiaba)","巴西中部标准时间 (美洲/库亚巴)"
"Central Europe Standard Time (Europe/Belgrade)","中欧标准时间 (欧洲/贝尔格莱德)"
"Central Europe Standard Time (Europe/Bratislava)","中欧标准时间 (欧洲/布拉迪斯拉发)"
"Central Europe Standard Time (Europe/Budapest)","中欧标准时间 (欧洲/布达佩斯)"
"Central Europe Standard Time (Europe/Ljubljana)","中欧标准时间 (欧洲/卢布尔雅那)"
"Central Europe Standard Time (Europe/Podgorica)","中欧标准时间 (欧洲/波德戈里察)"
"Central Europe Standard Time (Europe/Prague)","中欧标准时间 (欧洲/布拉格)"
"Central Europe Standard Time (Europe/Tirane)","中欧标准时间 (欧洲/地拉那)"
"Central European Standard Time (Europe/Sarajevo)","中欧标准时间 (欧洲/萨拉热窝)"
"Central European Standard Time (Europe/Skopje)","中欧标准时间 (欧洲/斯科普里)"
"Central European Standard Time (Europe/Warsaw)","中欧标准时间 (欧洲/华沙)"
"Central European Standard Time (Europe/Zagreb)","中欧标准时间 (欧洲/萨格勒布)"
