"Add","添加"
"Add New Promotion Activities","新建促销活动"
"Add New Coupons","新建优惠券"
"Add Condition","添加条件"
"All","全部"
"Any","任一"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","仅应用于满足以下条件的产品(应用于所有产品请留空)"
"Apply to","折扣计算范围"
"Available when filter is defined.","仅当筛选产品时可用"
"Are you sure to delete these records?","您确定要删除这些记录吗？"
"Are you sure to delete this record?","您确定要删除这条记录吗？"
"Combination","组合"
"Condition","条件"
"Count of Usage","使用次數"
"Coupon","优惠券"
"Coupon Statement","优惠券使用记录"
"Discount for Each Product","每件产品折扣"
"Edit Promotion Activities","编辑促销活动"
"Edit Coupons","编辑优惠券"
"eg. In 3, the whole site only the top 3 users can use this coupon, or fill in the blank 0 unlimited use.","例如：填写3，则全站仅前三名用户可使用此优惠券，留空或填0表示不限使用次数"
"eg. In 3, each user can use coupon 3 times, or 0 blank fill said does not limit the use number of times.","例如：填写3，则每个用户都可使用此优惠券3次，留空或填0表示不限使用次数"
"Eligible","满足"
"equals or great than","大于等于"
"equals or less than","小于等于"
"Found","存在"
"From Date","起始时间"
"Generate","生成"
"Generate Now","立即生成"
"great than","大于"
"How many coupons do you want to generate?","您想生成多少优惠券?"
"If %s of these conditions are %s.","如果%2$s以下%1$s条件"
"If an item is %s in the cart with %s of these conditions true.","如果购物车中%s一个产品并且满足一下%s条件"
"If no conditions are set, the coupon does not take effect on any commodity.","若此处未设置条件，则此优惠券不对任何商品生效。"
"Item(s) Only","仅产品"
"is","是"
"is not","不是"
"is not one of","不属于"
"is one of","属于"
"Label","标签"
"less than","小于"
"Maximum Qty Discount is Applied To","应用折扣最大数量"
"Not Eligible","不满足"
"Not Found","不存在"
"Please introduce the condition of this promotion rule.","请简单描述当前促销规则的生效条件。"
"Please select the range to use coupon.","请选择可使用此优惠券的范围。"
"Preferential Promotion","优惠促销"
"Priority","优先级"
"Product Options Combination","产品选项组合"
"Promotion","优惠抵扣"
"Set priority associated with promotion,smaller the number,higher the priority.","此处设置与促销管理中的优先级关联，数字越小，优先级越高."
"Set coupon identification label.","此处设置优惠券识别标签."
"Stop Processing","停止处理后续规则"
"Stop Processing More Rules","停止处理后续规则"
"To Date","结束时间"
"Total station effective","全站有效"
"Update prices using the following infomation","使用以下信息计算折扣"
"Use Coupon","使用优惠券"
"Uses per Coupon","每个优惠券可使用次数"
"Uses per Customer","每个顾客可使用次数"
"Used to describe current conditions and the scope of the use of coupons, such as: full 100 minus 30, clothing products available.","描述当前优惠券的使用条件及类别范围，例如：满100减30，衣服类产品可用."
"Whole Cart","整个购物车"
"You said that the current start time.","留空表示当前为起始时间。"
