"ALL","全部"
"Admin\Api\Oauth\Consumer::delete","删除OAuth使用者"
"Admin\Api\Oauth\Consumer::edit","编辑OAuth使用者"
"Admin\Api\Oauth\Consumer::index","查看OAuth使用者"
"Admin\Api\Oauth\Consumer::save","保存OAuth使用者"
"Admin\Api\Oauth\Token::delete","删除OAuth标记"
"Admin\Api\Oauth\Token::grant","同意OAuth标记"
"Admin\Api\Oauth\Token::index","查看OAuth标记"
"Admin\Api\Oauth\Token::revoke","取消Oauth标记"
"Admin\Api\Rest\Attribute::edit","编辑REST属性"
"Admin\Api\Rest\Attribute::index","查看REST属性"
"Admin\Api\Rest\Attribute::save","保存REST属性"
"Admin\Api\Rest\Role::delete","删除REST角色"
"Admin\Api\Rest\Role::edit","编辑REST角色"
"Admin\Api\Rest\Role::index","查看REST角色"
"Admin\Api\Rest\Role::save","保存REST角色"
"Admin\Api\Soap\Role::delete","删除SOAP角色"
"Admin\Api\Soap\Role::edit","编辑SOAP角色"
"Admin\Api\Soap\Role::index","查看SOAP角色"
"Admin\Api\Soap\Role::save","保存SOAP角色"
"Admin\Api\Soap\User::delete","删除SOAP用户"
"Admin\Api\Soap\User::edit","编辑SOAP用户"
"Admin\Api\Soap\User::index","查看SOAP用户信息"
"Admin\Api\Soap\User::list","查看SOAP用户列表"
"Admin\Api\Soap\User::save","保存SOAP用户"
"Admin\Cache::flush","清空缓存"
"Admin\Cache::index","查看缓存信息"
"Admin\Catalog\Attribute::delete","删除产品属性"
"Admin\Catalog\Attribute::edit","编辑产品属性"
"Admin\Catalog\Attribute::index","查看产品属性信息"
"Admin\Catalog\Attribute::save","保存产品属性"
"Admin\Catalog\Attribute\Group::delete","删除产品属性组"
"Admin\Catalog\Attribute\Group::save","保存产品属性组"
"Admin\Catalog\Attribute\Set::delete","删除产品属性集"
"Admin\Catalog\Attribute\Set::edit","编辑产品属性集"
"Admin\Catalog\Attribute\Set::index","查看产品属性集信息"
"Admin\Catalog\Attribute\Set::save","保存产品属性集"
"Admin\Catalog\Category::delete","删除产品分类"
"Admin\Catalog\Category::edit","编辑产品分类"
"Admin\Catalog\Category::index","查看产品分类信息"
"Admin\Catalog\Category::order","查看产品分类订单"
"Admin\Catalog\Category::save","保存产品分类"
"Admin\Catalog\Product::delete","删除产品"
"Admin\Catalog\Product::edit","编辑产品"
"Admin\Catalog\Product::index","查看产品信息"
"Admin\Catalog\Product::list","查看产品列表"
"Admin\Catalog\Product::save","保存产品"
"Admin\Catalog\Product\Rating::delete","删除产品积分"
"Admin\Catalog\Product\Rating::edit","编辑产品积分"
"Admin\Catalog\Product\Rating::index","查看产品积分"
"Admin\Catalog\Product\Rating::save","保存产品积分"
"Admin\Catalog\Product\Review::delete","删除产品评价"
"Admin\Catalog\Product\Review::edit","编辑产品评价"
"Admin\Catalog\Product\Review::index","查看产品评价信息"
"Admin\Catalog\Product\Review::save","保存产品评价"
"Admin\Catalog\Sitemap::index","查看网站地图信息"
"Admin\Cms\Block::delete","删除管理模块"
"Admin\Cms\Block::edit","编辑管理模块"
"Admin\Cms\Block::index","查看管理模块信息"
"Admin\Cms\Block::save","保存管理模块"
"Admin\Cms\Category::delete","删除管理分类"
"Admin\Cms\Category::edit","编辑管理分类"
"Admin\Cms\Category::index","查看管理分类信息"
"Admin\Cms\Category::save","保存管理分类"
"Admin\Cms\Page::delete","删除管理页面"
"Admin\Cms\Page::edit","编辑管理页面"
"Admin\Cms\Page::index","查看管理页面信息"
"Admin\Cms\Page::save","保存管理页面"
"Admin\Config::catalog","产品配置"
"Admin\Config::checkout","结算配置"
"Admin\Config::customer","顾客配置"
"Admin\Config::email","邮件配置"
"Admin\Config::global","全局配置"
"Admin\Config::i18n","货币配置"
"Admin\Config::index","查看配置信息"
"Admin\Config::payment","支付方式配置"
"Admin\Config::save","保存配置"
"Admin\Config::shipping","配送方式配置"
"Admin\Config::theme","主题配置"
"Admin\Customer\Address::delete","删除顾客地址"
"Admin\Customer\Address::save","保存顾客地址"
"Admin\Customer\Attribute::delete","删除顾客属性"
"Admin\Customer\Attribute::edit","编辑顾客属性"
